clean_text,y
el fin de semana mi pareja y yo hicimos una reserva en este hotel con el fin de descansar y desconectar fue sólo una noche y menos mal nos llevaron a un ala bastante apartada del hotel porque nos dijeron que era mejor para descansar ya que la parte de fuera era muy jaleosa nos pareció bien porque era justo lo que buscábamos y cuál fue nuestra sorpresa desde las de la mañana con ruidos primero lo que suponemos que eran unos tacones en la habitación de arriba de eso no tiene culpa el hotel obviamente y después sobre las o poco más las limpiadoras moviendo muebles y arrastrando sofás o lo que fuera habíamos cogido sólo alojamiento para descansar pensando en no tener que madrugar como habitualmente pero fue imposible por los ruidos constantes por destacar algo,0
calefacción averiada o no operativa se comenta en recepción y no me hacen caso reitero y tampoco ni caso pasé frío no es admisible en ningún hotel pero menos en un hotel de esta supuesta categoría,0
este hotel ha bajado notoriamente su categoria sus habitaciones son bastante hostiles y el room service es pesimo no ponen amenities en el baño y las toallas son viejas la ducha no tiene presion deberian de preocuparse un poco mas por dar mejor servicio,0
son pequeños se bloquean y son insuficientes para el tamaño del hotel la mayoría de los clientes tenían que usar las escaleras yo estuve en una plantay encima a la llegadano funcionaba la cerradura de la habitación y baje dos veces más a recepción un desastre,0
mal mal y mal una enorme diferencia de trato con familia a trabajo empecemos por la recepción la reserva no les figuraba me descargo la app ya que a ellos nos les figura una vez la tengo en pantalla y se la muestro me dicen que ahora sí no tienen la cama supletoria lista por supuesto ruido en la habitación hay toda una maquinario de un extractor en elpropio baño moqueta delos pasillos vieja sucia y con olor a tabaco piscina aquí viene el surrealismo está cerrada al público si bien por el clima está llena sirven un cóctel de empresa pero como cliente no puedo subir una bebida en cristal y esto en día y medio never again y seguro nunca me traigo un grupo aquí de trabajo,0
jamás me he encontrado un nivel de suciedad como el de este hotel ni en hostales de una estrella cuando llegamos tuvimos que solicitar el cambio de habitación al ver el estado de la misma echad un vistazo a las fotos durante el proceso de cambio las enseñé en recepción y ni nos miraron a la cara ni una disculpa ni un detalle nada durante nuestra estancia las medidas de prevención covid son inexistentes ni siquiera informan a los clientes extranjeros de que en españa es obligatorio el uso de mascarilla en interiores y obviamente no lo cumplen tampoco en recepción o en los ascensores escribiendo sobre los ascensores están colapsados demasiados clientes para tan pocos tuvimos que bajar numerosas veces por las escaleras desde un quinto piso menos mal porque,0
lamentable elegir un hotel de cuatro estrellas y que te adjudiquen una habitación sucia otra ocupada con cliente limpio y la tercera sucia queria tranquilidad y no tener problemas durante el alojamiento y fue todo lo contrario y esa experiencia por muchas disculpas que te pidan se queda ahi y no se resarce de ninguna manera no tampoco el hotel mucha intención de resarcir la experiencia,0
el hotel fantástico los desayunos muy buenos pero la recepcionista del lunes bde octubre en la mañana es una grosera que trata mal a los huéspedes no se qué le pasa pero si pudiera cambiaria hoy mismo de hotel está mañana con un tema de la llave me regaña y me hace sentir mal como si hubiese tenido yo la culpa que mi llave no funcionará esa actitud de superioridad que no entiendo cero actitud de servicio,0
sevilla center un disgusto en pleno centro de sevilla horrible experiencia el que se supone que iba a ser mi mejor día de vacaciones se convirtió en el peor no lo recomiendo mi pareja y yo venimos de madrid para ver a familiares y nuestro último día quisimos pasar el día solos en un bonito hotel con piscina en sevilla hace mucho calor y queríamos poder aprovechar la tarde con un baño refrescante cerca del centro para pasear despuésy sobretodo que prometía cumplir las normas de seguridad referentes al covid algo muy importante para nosotros cuando vimos la página web de este hotel nos pareció el hotel perfecto tenia todo lo que queríamos fue un gran error cuando llegamos a la piscina vemos que esta atestada de gente que pasea por el recinto sin mascarilla ojo,0
una experiencia muy agridulce por no decir pésima llegamos al hotel teníamos dos reservas una para el sábado noche en the level hab normal y otra para el domingo en junior suite cuándo llegamos al checkin nos comunicaron que no tendríamos que hacer ningún tipo de checkout y checkin ya que la habitación junior suite estaría disponible pronto una vez terminamos el checkin subimos a la habitación y tuvimos que bajar nuevamente ya que la habitación estaba sin hacer nos dieron otra habitación misma planta mismas características minutos más tarde roomservice nos trajo un detalle que consistía en dos botellitas de agua y unas chuches me imagino que harían o cual sería el detalle si los huéspedes tuviesen años más se me cae la cara de verguenza si,0
debajo de la habitación hay una terraza de una discoteca música y gritos hasta las am en fin no he dormido nada a otros compañeros que han dormido en esa planta dando a la discoteca les ha ocurrido lo mismo al reclamar en recepción ningun comentario y extrañados de ello,0
asi fue todo muy bonito fotos experiencias entras el personal y la primeraninguna manera de cargar tu coche la segunda una suite en una tercera planta debajo de una discotecapues si al parecer e ese hotel si,0
al llegar mientras esperábamos para hacer el checking había una señora quejándose de que olía a cañería su habitación pues bien tenía toda la razón nos dieron una habitación con un olor asqueroso a pipi insoportable nos la cambiaron pero es que cuando estábamos entrando llegó una limpiadora y entró me han dicho que ocurre algo en el baño echó ambientados y se fue si ya saben que hay habitaciones con ese problema me parece de vergüenza que la den a los clientes una de las toallas del baño estaba vieja con boquetes de vergüenza el hotel en general muy viejo y los pasillos no huelen bien no recomiendo ese hotel,0
fuimos a una oposición y escogimos este hotel por cercanía a la prueba con desayuno incluido al llegar nos dijeron que cafetería no abría hasta las dijimos que nos reembolsaran el desayuno y no lo hicieron nos montaron un desayuno en recepción nefasto con máquina de café estropeada incluida en definitiva nos fuimos al examen sin desayunar,0
conozco este hotel por varios años en principio jamás me han cobrado el parquin en esta ocasión pregunté como siempre en recepción por el parquin y muy amablemente me dijo el recepcionista que sin problema como siempre mi sorpresa es que al ir a entregar la llave y validar el tiquet me dice el señor de recepción bastante serio que me lo iba a cobrar le hice saber lo que me dijo su compañero y casi sin mirarme obviandome completamente me larga la nota de cargo del parquin por euros cantidad ridícula pero actuación nefasta del recepcionista que me lleva a no volver a ese hotel en mis viajes a sevilla,0
ayre seville poco simpáticos y publicidad inexacta hotel desaconsejable pedí en la propia reserva de booking que las ventanas se pudiera abrir no contestaron y en cuanto estuve allí una recepcionista de forma poco educada me dijo que no que las ventanas no se pueden abrir que si no la gente se tiraria ante tal argumento anule la habitación y me mintieron diciéndome que no cobrarían nada y si lo hicieron a pesar de que la reclamación la hice a través de booking no tengo constancia de la devolución de un servicio que reserve el mismo día y que no tenia gastos de cancelación y me la cobraron esa fue mi experiencia en el hall y no conozco las instalaciones pero vamos que no se puedan abrir las ventanas porque la gente se tiraría es de en fin igual tenía un mal,0
el hotel enciende la calefacción sin que haya suficiente frío y no es posible graduarla porque es central tuve que cambiar de habitación a media noche por calor y al tener la nueva habitación las sabanas olían a cigarrillo a pesar de estar prohibido fumar en las habitaciones y como si no fueran sábanas limpias en fin muy mala higiene y servicio,0
acudí con mi marido al llegar a la habitación vimos que eran dos camas educadamente bajamos a la recepción para preguntar si había alguna cama de matrimonio pero rápidamente nos respondió que no de manera muy seca que juntemos la camitas y es lo mismo es la misma respuesta que les daría a una pareja heterosexual gracias a ese recepcionista no volveremos a pisar ningún hotel de vuestra cadena cansado,0
elegi este hotel entre otras cosaspor su ubicacion y por la esteticacoqueto y pintoresco las recepcionistas muy amables y profesionalespero en cuanto a las prestacionesun hotel estrellas con servicio de pension solo funciona el desayunoel servicio absolutamente precarioni siquera la nevera disponible en la habitacion estaba servidani jacuzzini saunala terraza estupendaun poco dejadaeso si las habitaciones muy acogedoras y limpiaslastima la falta de serviciosque impiden el disfrute en sus instalaciones,0
bastante decepcionada suelo ir a hoteles de y son mucho mejores las camas y almohadas muy incomodas el mobiliario esta muy usado el servicio de limpieza pésimo dos días no se llevaron las toallas sucias y tampoco nos pusieron limpias tuvimos que pedir toallas en recepción y como no tenían nos dieron de la piscina también pedí otra almohada y no tienen de repuesto respecto a la televisión no se ven casi ningún canal y tampoco supieron arreglarlo el chico que subió a la habitación no tenia ni idea cuando entramos en la habitación no estaba limpia había mucho polvo y un peine usado en el suelo que seria de los clientes anteriores el baño muy antiguo en relación calidad precio no corresponde con lo pagado,0
no tiene la calidad de la cadena barcelo el personal de recepción rafael poco resolutivo en la página web del hotel indican que en las junior suite pueden poner dos camas adicionales se solicita a la hora de hacer la reserva pero al llegar al hotel nos indican que este servicio en el hotel no lo hacen pertenezco al servicio my barcelo y no hemos disfrutado de ningún servicio ni servicio de bienvenida ni detalle de bienvenida ni minibar ni una simple botella de agua en la habitación a nuestra llegada me parece increíble que la cadena barcelo tenga este hotel en su cadena lástima que en el barcelo renacimiento no hubiera habitaciones porque estoy seguro que no hubieramos tenido estos problemas,0
habitacion amplia pero algo sucia y mui viejo para estar a ese precio euros la nochebañera con mugre alrededor las camas incomodas a ser dos pekeñas y abrimos las camas y tenía pelos publico y la toallas no tenían olor y el aire no calentaba apena y la ventana mui alta para abri las camas si estaban mui bien echas pero de nada sirve si ahí pelos lo veo un precio exagerado cuando parece tipo albergue,0
habitacion con sabanas manchadas y con pelos no tiene logica que entreguen una habitacion con pegatinas informando de que el protocolo covid se ha llevado a cabo siendo totalmente falso la nevera es de juguete,0
trato de recepción cordial y correctoubicación del hotel muy buenasbuenas instalaciones tambiénpero lo de la almohada finas y mal rellenadasen recepción la solución que me dan es darme otra igual ya que no tienen otras el secador roto y nada de menaje de bañotipo peinecuchillas de afeitadobolsas de ducha para el pelo,0
uno podría esperar de la cadena hilton un estándar de calidad diferente algo que diferencie a sus hoteles para bien del resto pero lamentablemente no es así la habitación está llena de detalles que hacen ver el descuido ver fotos y además la cama es realmente incómoda un hotel de no puede tener una cama tan mala por cierto al ser alérgico al polvo notaba por la noche un poco de reacción alérgica lo comprendí todo cuando casualmente vi lo que había detrás del espejo del cuarto de baño tenía polvo acumulado desde tiempo inmemorial quizás también había polvo en las cortinas aunque eso no lo puedo saber sobre el tema de la limpieza si cenas verás en el desayuno a la mañana siguiente restos de suciedad de la noche anterior por el suelo la carta del,0
la ventana del balcón no cerraba bien la tenían con un cerrojo chapucero que dejaba toda la parte de arriba abierta con lo cual el ruido que se colaba por la rendija te despertaba por las noches los cristales de la ventana tenia pequeñas puertas de madera para impedir entrar la luz y faltaban como el aire acondicionado esta incrustado en la ventana no podías correr las cortinas para que la luz del amanecer no te molestase la balda donde estaba colocado el televisor tenia cm de polvo al igual que el televisor el secador del baño no funcionaba e fin un desastre ni lo recomiendo ni vuelvo,0
habíamos contratado a través de la web una habitación cuádruple con camas de matrimonio al llegar nos dicen que eso es imposible que no existe esa habitación les enseñamos las fotos de la web y nos contestan que es marketing desastrosa resolución de problemas horas tardaron en no solucionar nada no volvemos a ir nunca publicidad en su web engañosa,0
para estar donde está y la cadena que es menuda depecion además de ser antiguo suelo con moquetas necesita más mantenimiento puerta rota cortinas sucias mucho ruido porque no tiene insonorizacion por no hablar del cuarto de baño no cabes en el wc cuanto más para limpiarte y del parking intentando más de veces buscar la plaza correcta parking súper pequeño estrecho y me voy con arañon en mi coche por parte ajena le sobran estrellas,0
el hotel está viejo y necesita una reforma las paredes no están insonorizadas y se escucha todo las camas son viejas y mejor no te muevas porque suena un montón la foto que adjunto son mis vistas no hay enchufe cerca de la cama y no se porque pero hay toma de teléfono en el cuarto de baño la piscina tiene horario y va por turnos de h y min que nos lo dijeron al llegar haces pie en todo la piscina m y el agua no está muy limpia está un poco verde el desayuno es bastante simple ya que no hay mucho donde elegir los trabajadores del hotel todos muy amables y atentos el hotel está en muy buena zona cerca del centro de sevilla y tiene unas vistas muy bonitas en la azotea,0
he pasado noche en el hotel y no me gusta nada porque se escucha todo lo que sucede en las habitaciones cercanassi rocasi hablasi va al baño etcc se escucha igual que si estuviera dentro de nuestra habitación tampoco me gusta el funcionamiento de las cisternas del bañoescuche a más personas quejándosetuvimos qué echar agua al water con la papelera la mininevera de la habitación no estaba funcionando y tenía muy mala pinta el desayuno fenomenal y buen serviciolas ventanas tipo balcón a la calle me encantarona mi lo que me horroriza fue que se escucha todo de la habitación de al lado,0
voy a ser rapidito el personal amable y limpieza buena el hotel se cae literalmente a pedazos necesita una reforma pero de haberse hecho hace años de centrico nada de nada precisamente es que ni esta en el casco historico hay que coger autobus o taxi si quieres llegar a ver giraldas y demas aparcamiento horroroso en el hotel listo sino me creen vayan,0
sevilla mes de agosto domingo elegimos el macarena por su excelente ubicación piscina y por habernos quedado anteriormente nada más llegar subimos a la piscina nadie controlaba el aforo y las tumbonas estaban muy juntas el agua turbia tuvimos tanto asco y temimos tanto por nuestra seguridad que enseguida bajamos a la habitación la moqueta tenía manchas y olor fuimos a darnos una ducha y la silicona tenía humedad manchas negras por toda la bañera las juntas de los azulejos negrasintentamos descansar y no hay insonorización las habitaciones de la planta ta que no son suites son normales no disponen de ella puedo decir el nombre de los hijos de nuestros vecinos una araña de buen tamaño campaba por el techo hasta que la pudimos matar el desayuno buffet bien si,0
fuimos a sevilla en el mes de agosto la habitacion familiar genial y la limpieza tambien cogimos ese hotel por la piscina ya que en agosto sevilla hace badtante calor el mismo dia de la llegada envian un email informando que la piscina solo se puede usar h al dia reservandola anteriormente informan el misml dia para que no puedas cancelar el viaje me parece pesimo que x tema covid tengan aforo d h en la piscina x cuestion de meter mas clientes en el hotel pienso que en vez de llenar el hotel de gente deberian de tener los clientes que el aforo permita y a esos clientes darle buena estacia no qie nos dejen h d piscina y si esq qda aforo q si no tb t dejan sin piscina a la hora del desayuno el salon n cabe mas gente pero claro se esta pagando desayuno y se deja dinero en,0
hotel antiguo sin servicio de habitaciones ni restaurante parking de difícil acceso y muy pequeño te llevarás algún golpe de barras o columnas por todas partes paredes y suelos deteriorados y moquetas un camareras de piso es lo mejor del hotel vistas de interior horrible solo maquinaria,0
