clean_text,y,fecha_recoleccion
fue pésimo el servicio,0,2025-12-27 04:48:02.694353
que mal nos atendieron cero estrellas,0,2025-12-27 04:48:53.729084
fue una mierda de servicio!,0,2025-12-27 04:56:24.351393
me atendieron super super mal,0,2025-12-27 05:07:13.172947
me atendieron super horrendo,0,2025-12-27 05:07:40.696509
fue muy muy malo todo,0,2025-12-27 05:09:17.467149
todo  fue muy muy malo,0,2025-12-27 05:17:27.282930
todo  fue muy muy malo,0,2025-12-27 05:18:02.574003
todo  fue muy muy malo,0,2025-12-27 05:18:04.793924
todo  fue muy muy malo,0,2025-12-27 05:18:07.118245
todo fue muy muy malo,0,2025-12-27 05:18:44.597523
todo fue muy muy pesimo,0,2025-12-27 05:18:53.330267
todo fue muy muy pésimo,0,2025-12-27 05:19:04.274743
todo fome,0,2025-12-27 05:19:34.762908
un quilombo,0,2025-12-27 05:20:22.052027
"Camareras que hacen que a un hotel se la caigan las estrellas
Una vez más por acá en el intercontinental , venimos seguido por temas laborales .
Las instalaciones del hotel son hermosas y las habitaciones sin llegar a ser excelentes, pasan la prueba
El problema de este hotel y es lo que sucede siempre por estos lados es el personal !!!!! Sobre todo el personal que trabaja asociado a la parte gastronómica, en el desayuno es un personal insolente que responde de mala gana ante algún pedido !!!!! Quizás es un tema de idiosincrasia.
Mejoren eso !!!!!

",0,2025-12-27 05:32:18.957973
todo ok muy bueno,1,2025-12-27 07:00:12.721621
"todo genial , estuvo bonito",1,2025-12-27 07:00:29.433414
"Recomendable
dic 2025 • Parejas
Comimos muy rico, Adrian y equipo nos atendieron muy bien =)
Excelente servicio.
Súper recomendable. Lugar agradable.",1,2025-12-27 07:02:07.162069
"Recomendable
dic 2025 • Parejas
Comimos muy rico, Adrian y equipo nos atendieron muy bien =)
Excelente servicio.
Súper recomendable. Lugar agradable.",1,2025-12-27 07:02:58.458373
"Cenita de fin de año
dic 2025 • Amigos
Muy bien la atención de Juan Pablo.
La comida en buen tiempo y el punto de la carne
Todo recomendable.
Tip.'Mesa afuera!!",1,2025-12-27 07:03:09.632733
"A la segura.
dic 2025 • Parejas
De los restoranes típicos que va a la segura. No se asusten porque es parte de Faena… sus precios están en el promedio del restorant clase Puerto Madero. La atención es amable, no atosiga, el lugar es hermoso y la comida deliciosa. Esa costilla de 5 huesos es fantástica.
Solo una cosa: ojalá tuvieran vinos tintos a temperatura ambiente y no refrigerado (quizás tuve mala suerte)
Volvería? Por supuesto. Muchas veces",0,2025-12-27 07:03:18.857050
"A la segura.
dic 2025 • Parejas
De los restoranes típicos que va a la segura. No se asusten porque es parte de Faena… sus precios están en el promedio del restorant clase Puerto Madero. La atención es amable, no atosiga, el lugar es hermoso y la comida deliciosa. Esa costilla de 5 huesos es fantástica.
Solo una cosa: ojalá tuvieran vinos tintos a temperatura ambiente y no refrigerado (quizás tuve mala suerte)
Volvería? Por supuesto. Muchas veces",1,2025-12-27 07:03:46.610486
"A la segura.
dic 2025 • Parejas
De los restoranes típicos que va a la segura. No se asusten porque es parte de Faena… sus precios están en el promedio del restorant clase Puerto Madero. La atención es amable, no atosiga, el lugar es hermoso y la comida deliciosa. Esa costilla de 5 huesos es fantástica.
Solo una cosa: ojalá tuvieran vinos tintos a temperatura ambiente y no refrigerado (quizás tuve mala suerte)
Volvería? Por supuesto. Muchas veces",1,2025-12-27 07:03:51.953045
"Servicio de camila y german
dic 2025 • Negocios
Germán y camila unos genios! Excelente servicio y calidad de comida!
El lugar es excelente. Nos atendieron super rápido y muy amables",1,2025-12-27 07:04:07.879582
"Unica!
dic 2025 • Parejas
Un lugar muy lindo, cálido y fino. La comida 20/10. Destacó sobre todo la atención de Adrián nuestro camarero, que nos dio recomendaciones en cada caso y su atención fue muy atenta, predispuesto y dedicado.",1,2025-12-27 07:04:27.461780
"Excelente
dic 2025 • Amigos
Nos atendió Ivan gerente. nos recomendó cortes de carne y vinos espectaculares. La entraña un 10000/10 la verdad vuelvo mil veces. GRACIAS !",1,2025-12-27 07:04:39.850974
